,screen_size,screen_resolution,cpu_speed,ram,memory,weight,price,ppi,brand_acer,brand_apple,brand_asus,brand_dell,brand_hp,brand_lenovo,cpu_amd_3,cpu_amd_5,cpu_amd_7,cpu_amd_9,cpu_amd_athlon,cpu_amd_r_series,cpu_apple,cpu_intel_celeron,cpu_intel_i3,cpu_intel_i5,cpu_intel_i7,cpu_intel_i9,cpu_intel_pentium,cpu_mediatek_mt8183,cpu_other,gpu_amd,gpu_apple,gpu_intel,gpu_nvidia,gpu_other,gpu_description_dedicated,gpu_description_integrated,OpSys_mac_os,OpSys_windows,color_black,color_blue,color_gold,color_grey,color_other,color_silver,color_white
24,11.6,1049088,2.4,4.0,64.0,3.0,199.99,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
25,15.6,2073600,4.4,8.0,512.0,3.88,595.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
26,15.6,2073600,4.7,16.0,512.0,5.51,969.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
27,15.6,2073600,3.0,16.0,128.0,3.64,359.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,15.6,2073600,2.8,20.0,1024.0,3.64,449.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
29,15.6,2073600,5.0,16.0,512.0,5.51,1094.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
30,15.6,2073600,3.6,8.0,256.0,5.2,520.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
31,14.0,2073600,4.4,16.0,2048.0,2.76,659.0,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,15.6,2073600,2.4,8.0,256.0,3.73,369.0,141.21199808219862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
33,15.6,2073600,4.2,8.0,256.0,4.2,549.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
34,15.6,3686400,4.7,32.0,2048.0,5.51,1389.99,188.28266410959816,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
35,13.3,2073600,2.1,4.0,32.0,3.28,338.0,165.6321180513006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
36,15.6,3686400,3.2,32.0,1024.0,4.41,1229.0,188.28266410959816,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
37,15.6,1049088,2.8,4.0,64.0,3.59,249.99,100.45466986113652,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
38,15.0,2073600,3.8,20.0,1024.0,3.9,489.99,146.86047800548656,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
39,11.6,1049088,2.35,4.0,64.0,4.22,110.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
40,15.6,2073600,2.7,32.0,512.0,5.73,1399.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
41,17.3,2073600,3.0,8.0,512.0,5.73,779.0,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
42,14.0,2073600,2.5,8.0,256.0,2.66,549.0,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
43,15.6,2073600,2.7,8.0,256.0,7.19,619.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
44,15.6,2073600,1.1,4.0,128.0,4.19,349.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
45,14.0,1049088,1.1,4.0,64.0,2.35,219.0,111.93520355955212,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
46,15.6,2073600,2.8,4.0,64.0,3.53,319.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
47,15.6,2073600,4.7,16.0,512.0,3.97,999.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
48,11.6,1049088,1.6,4.0,16.0,2.98,50.99,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
49,11.6,1049088,2.6,4.0,64.0,2.62,229.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
50,15.6,1049088,1.1,4.0,128.0,4.19,179.99,100.45466986113652,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
51,15.6,2073600,4.0,8.0,256.0,6.0,479.0,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
52,15.6,2073600,4.4,32.0,2048.0,5.07,1499.0,141.21199808219862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
53,15.6,2073600,2.6,32.0,1024.0,4.63,1498.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
54,14.0,2073600,2.4,8.0,512.0,2.66,479.0,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
55,15.6,2073600,2.1,16.0,512.0,5.81,535.0,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
56,14.0,1049088,1.6,20.0,512.0,4.74,219.0,111.93520355955212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
57,14.0,2073600,4.7,16.0,1024.0,3.31,619.0,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
58,15.6,2073600,2.7,64.0,4096.0,7.97,1369.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
59,15.6,2073600,5.0,16.0,1024.0,3.92,999.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
60,14.0,2073600,2.0,8.0,64.0,3.42,420.49,157.3505121487356,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
61,15.6,2073600,4.6,32.0,2048.0,5.06,1599.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
62,15.6,2073600,2.5,16.0,256.0,5.07,849.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
63,15.0,1049088,2.78,4.0,64.0,5.46,199.99,104.47285665558198,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
64,15.6,2073600,3.1,16.0,512.0,7.96,749.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
65,13.5,3393024,2.5,8.0,1024.0,2.63,899.0,200.84255993695703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
66,15.6,2073600,4.7,16.0,512.0,3.63,634.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
67,15.6,2073600,3.0,12.0,512.0,3.64,449.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
68,15.6,2073600,4.3,16.0,1024.0,3.92,649.99,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
69,15.6,2073600,2.8,8.0,512.0,5.07,489.99,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
70,15.6,2073600,2.4,8.0,256.0,3.75,369.99,141.21199808219862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
71,17.3,2073600,2.6,8.0,256.0,5.73,499.49,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
72,17.3,2073600,1.1,8.0,64.0,4.85,399.0,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
73,16.0,4096000,2.3,32.0,2048.0,5.5,1299.99,188.67962264113208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
74,15.6,2073600,2.1,32.0,512.0,3.88,619.0,141.21199808219862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
75,15.6,2073600,4.2,8.0,256.0,3.75,549.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
76,15.6,2073600,4.3,8.0,256.0,5.1,379.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
77,15.6,2073600,4.3,8.0,1024.0,3.92,589.99,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
78,15.6,2073600,4.1,16.0,512.0,3.64,469.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
79,15.6,2073600,1.1,4.0,32.0,0.26,195.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
80,14.0,2304000,4.6,8.0,512.0,3.75,449.99,161.72539083525606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
81,15.6,2073600,3.4,4.0,128.0,4.4,348.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
82,17.3,2073600,2.8,4.0,128.0,4.85,389.99,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
83,14.0,4096000,5.0,16.0,1024.0,3.75,1759.99,215.6338544470081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
84,16.0,2304000,5.1,16.0,512.0,5.95,1149.99,141.50971698084905,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
85,11.6,1049088,2.4,4.0,32.0,2.8,215.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
86,15.6,2073600,2.5,16.0,512.0,8.0,699.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
87,15.6,2073600,3.0,8.0,512.0,4.19,438.97,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
88,15.6,2073600,4.5,8.0,256.0,2.64,707.88,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
89,15.6,2073600,1.8,16.0,1024.0,3.64,849.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
90,15.6,2073600,2.5,32.0,512.0,5.07,859.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
91,15.6,2073600,2.4,8.0,1024.0,3.9,429.99,141.21199808219862,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
92,15.6,2073600,1.1,4.0,64.0,3.59,247.95,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
93,11.6,1049088,2.48,4.0,32.0,2.8,184.99,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
94,14.0,3136000,4.7,16.0,512.0,3.09,999.74,188.67962264113208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
95,15.6,2073600,3.0,16.0,1024.0,5.29,699.99,141.21199808219862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
96,15.6,2073600,3.3,16.0,1024.0,5.51,894.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
97,15.6,2073600,2.8,8.0,128.0,5.34,299.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
98,13.0,2073600,1.1,4.0,64.0,3.76,196.99,169.45439769863833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
99,15.6,2073600,2.3,16.0,512.0,3.99,599.99,141.21199808219862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
100,15.6,2073600,3.1,32.0,1024.0,3.88,1149.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
101,11.6,1049088,2.0,4.0,32.0,4.0,212.0,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
102,15.6,2073600,2.3,32.0,1024.0,4.84,1039.0,141.21199808219862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
103,11.6,1049088,2.0,4.0,64.0,2.0,249.99,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
104,16.1,2073600,3.1,8.0,512.0,3.75,529.0,136.82653230324834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
105,15.6,2073600,4.1,8.0,128.0,3.64,291.55,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
106,14.0,2073600,4.4,16.0,1024.0,3.3,643.98,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
107,17.3,2073600,2.8,12.0,256.0,5.73,769.99,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
108,17.3,1049088,1.1,8.0,256.0,5.73,379.99,90.58340172449304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
109,17.3,2073600,2.6,12.0,512.0,5.73,649.0,127.33567457123112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
110,11.6,1049088,1.6,4.0,16.0,2.98,53.38,135.0942111925629,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
111,15.6,2073600,2.7,16.0,1024.0,7.5,769.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
112,14.0,2073600,2.6,8.0,64.0,3.02,459.99,157.3505121487356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
113,15.6,2073600,4.2,32.0,1024.0,3.64,639.0,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
114,15.6,2073600,3.4,8.0,2048.0,6.17,1699.99,141.21199808219862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
