brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Dell,Dell 5490,14 Inches,1920 x 1080 pixels,apple_ci7,1.9 GHz,16 GB,1000 GB,Core i7-8650U,Integrated,Windows 10 Pro,5 pounds,FHD,5 ratings,4.3,$338.12 ,https://www.amazon.com/Dell-Latitude-5490-Business-i7-8650U/dp/B0BQDX9HBZ/ref=sr_1_918
Dell,,14 Inches,,apple_ci5,2.6 GHz,8 GB,500 GB,Intel Integrated Graphics,Integrated,Windows 10,3.52 pounds,,24 ratings,4.4,$239.69 ,https://www.amazon.com/Dell-Latitude-5480-Business-Laptop/dp/B07B8WGKBS/ref=sr_1_915
Dell,XPS 15,15.6 Inches,1920 x 1200,core_i7_family,3 GHz,32 GB,1 TB,NVIDIA GeForce RTX 3050 Ti,Dedicated,Windows 11 Pro,4.22 pounds,Platinum Silver,,,"$2,359.00 ",https://www.amazon.com/Dell-Multimedia-i7-12700H-Keyboard-Thunderbolt/dp/B0CL4FQ925/ref=sr_1_920
Dell,"Inspiron 15 7000 series, 7559",15.6 Inches,1920x1080,core_i5,2.3 GHz,8 GB,256 GB,NVIDIA GeForce GTX 960M,Dedicated,Windows 10 Home,6 pounds,Black,"1,693 ratings",4.3,$655.00 ,https://www.amazon.com/Dell-15-6-Inch-Quad-Core-i5-6300HQ-Processor/dp/B015PYYDMQ/ref=sr_1_914
Dell,Precision 5540 Laptop,15.6 Inches,1920 x 1080 pixels,core_i9,2.3 GHz,32 GB,1000 GB,NVIDIA,Nvidia Quadro T2000,Windows 10 Pro,3.93 pounds,Silver,2 ratings,5,$899.96 ,https://www.amazon.com/2019-Dell-Precision-5540-Laptop/dp/B096SPSD9K/ref=sr_1_916
Dell,Inspiron 15 3511,15.6 Inches,1920 x 1080 pixels,core_i3_1005g1,2.1 hertz,16 GB,1 TB,INTEL,Integrated,Windows 11 Pro,3.82 pounds,,,,$529.00 ,https://www.amazon.com/Dell-Inspiron-15-3511-Laptop/dp/B0CDQTFXVV/ref=sr_1_983
Dell,XPS,13.4 Inches,3840 x 2160 pixels,core_i7,4.7 GHz,16 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11,2.77 pounds,Evo i7-1260P,,,"$1,475.00 ",https://www.amazon.com/dell-XPS-Plus-9320-2xThunderbolt/dp/B0C384CZJ5/ref=sr_1_982
Dell,Latitude 5530,15.6 Inches,1920 x 1080 pixels,apple_ci7,4.8 GHz,16 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,0.564 ounces,,,,"$1,207.60 ",https://www.amazon.com/Dell-Latitude-5520-Laptop-i5-1145G7/dp/B09GS9SJ9C/ref=sr_1_979
Dell,Dell Latitude,14 Inches,1920 x 1080 pixels,core_i7,1.9 GHz,16 GB,1 TB,Intel,Integrated,Windows 10 Pro,5 pounds,,,,$405.94 ,https://www.amazon.com/Dell-Latitude-7400-Laptop-1920x1080/dp/B095MCKQSX/ref=sr_1_913
Dell,Dell Inspiron,15.6 Inches,1920 x 1080 pixels,core_i5,2.4 GHz,12 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.82 pounds,Black,,,$599.99 ,https://www.amazon.com/Dell-Touchscreen-Inspiron-Laptop-i5-1135G7/dp/B0BLXV8CBH/ref=sr_1_980
Dell,XPS 15 7590,15.6 Inches,3840 x 2160 pixels,core_i7_family,4.5 GHz,16 GB,1 TB,NVIDIA GeForce GTX 1650,Dedicated,Windows 10,5.5 pounds,Black,169 ratings,4.2,"$1,999.00 ",https://www.amazon.com/Dell-Touch-Intel-NVIDIA-GeForce/dp/B07T4HGF79/ref=sr_1_977
Dell,,14 Inches,,apple_ci5,2.6 GHz,8 GB,500 GB,Intel Integrated Graphics,Integrated,Windows 10,3.52 pounds,,24 ratings,4.4,$239.69 ,https://www.amazon.com/Dell-Latitude-5480-Business-Laptop/dp/B07B8WGKBS/ref=sr_1_978
Dell,Inspiron 3000,15.6 Inches,1920 x 1080 pixels,core_i5_family,1 GHz,16 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Home,3.93 pounds,,9 ratings,4.4,$624.99 ,https://www.amazon.com/Dell-Inspiron-i5-1035G1-Processor-Bluetooth/dp/B09XYT9495/ref=sr_1_975
Dell,Dell Latitude,14 Inches,1366 x 768 pixels,core_i5,2.4 GHz,8 GB,256 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,4.84 pounds,,3 ratings,4.6,$195.00 ,https://www.amazon.com/Dell-Latitude-5400-Certified-Refurbished/dp/B07ZG9TJDT/ref=sr_1_974
Dell,Dell Latitude 7490 Laptop,14 Inches,1920 x 1080 pixels,core_i7_8650u,1.9 GHz,8 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 Pro,3 pounds,Black,8 ratings,4.2,$442.66 ,https://www.amazon.com/Dell-7490-Touchscreen-11-Professional/dp/B0B1N9H3QD/ref=sr_1_973
Dell,Dell Inspiron 16 5620,16 Inches,1920 x 1200 pixels,core_i7,4.7 GHz,32 GB,1 TB,NVIDIA GeForce MX570,Integrated,Windows 11 Home,6.74 pounds,Platinum Silver,288 ratings,4.1,"$1,089.99 ",https://www.amazon.com/Dell-Inspiron-i7-1255U-Processor-Platinum/dp/B0CK2G97T4/ref=sr_1_971
Dell,7380,13.3 Inches,1920 x 1080 pixels,apple_ci7,3.9 GHz,16 GB,256 GB,Intel HD Graphics 620,Integrated,Windows 10,3.76 pounds,Black,,,$279.00 ,https://www.amazon.com/Dell-Latitude-i7-7600U-Windows-Professional/dp/B0CK7ZKYKL/ref=sr_1_969
Dell,Dell,14 Inches,1366 x 768 pixels,core_i7,2.7 GHz,4 GB,500 GB,"Intel HD Graphics, NVIDIA Quadro NVS 3100M",Integrated,Windows 10,4.41 pounds,Black,156 ratings,3.2,$148.00 ,https://www.amazon.com/Dell-Latitude-E6410-Certified-Refurbished/dp/B01LWSKR7I/ref=sr_1_968
Dell,Inspiron 3000,15.6 Inches,1920 x 1080 pixels,core_i7_family,2.4 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 10 Home,3.82 pounds,Carbon Black,1 rating,4,"$1,149.00 ",https://www.amazon.com/Dell-Newest-Inspiron-i3511-Laptop/dp/B0BXZF384W/ref=sr_1_967
Dell,Alienware,17.3 Inches,1920 x 1080 pixels,ryzen_9,3.3 GHz,32 GB,1 TB,NVIDIA GeForce RTX 3070 Ti 8GB GDDR6,Integrated,Windows 11 Pro,7.3 pounds,,2 ratings,5,"$1,749.00 ",https://www.amazon.com/Dell-Alienware-m17-R5-Octa-Core/dp/B0CKRGPNDN/ref=sr_1_966
Dell,G5,15.6 Inches,1920 x 1080,core_i7,2.6 GHz,32 GB,512 GB,NVIDIA® GeForce® GTX 1660 Ti 6GB GDDR6,Dedicated,Windows 10,5.2 pounds,Black,5 ratings,4.7,$949.00 ,https://www.amazon.com/Dell-Gaming-i7-10750H-Backlit-Keyboard/dp/B08D8MDF5R/ref=sr_1_965
Dell,Latitude 5320 2-in-1,13.3 Inches,1920 x 1080 pixels,core_i5,,8 GB,256 GB,Intel Integrated Graphics,Integrated,Windows 11 Pro,2.9 pounds,Black,3 ratings,4.6,$499.99 ,https://www.amazon.com/Dell-Latitude-5000-5320-Touch/dp/B09QK6BR4Z/ref=sr_1_962
Dell,Precision,15.6 Inches,1920 x 1080 pixels,core_i7_family,2.6 GHz,16 GB,512 GB,Quadro P2000,Dedicated,Windows 10 Pro,13.45 pounds,,1 rating,5,$329.00 ,https://www.amazon.com/Dell-Precision-Workstation-i7-8850H-Renewed/dp/B07RD1T2S6/ref=sr_1_1007
Dell,Dell Latitude,14 Inches,1366 x 768,core_i7_6600u,2.6 GHz,8 GB,512 GB,Intel HD Graphics 520,Integrated,Windows 10 Pro,3.53 pounds,Black,36 ratings,4,$247.99 ,https://www.amazon.com/Dell-Latitude-5480-Business-Notebook/dp/B08N5C12T9/ref=sr_1_1005
Dell,Dell Latitude,14 Inches,1366 x 768 pixels,core_i5,3 GHz,8 GB,128 GB,Integrated,Integrated,Windows 10 Pro,5.24 pounds,,13 ratings,3.9,$242.98 ,https://www.amazon.com/Dell-Latitude-i5-7300U-1366x768-Windows/dp/B08TJ2TCHH/ref=sr_1_1002
Dell,,15 Inches,1366 x 768 pixels,core_i5,2 GHz,8 GB,1 TB,Intel UHD Graphics,Integrated,Windows 10 Pro,3.68 pounds,,,,$95.85 ,https://www.amazon.com/Dell-Inspiron-i5-1035G411-Graphics-Bluetooth/dp/B09PN63GQZ/ref=sr_1_1003
Dell,Latitude 5320 2-in-1,13.3 Inches,1920 x 1080 pixels,core_i5,,8 GB,256 GB,Intel Integrated Graphics,Integrated,Windows 11 Pro,2.9 pounds,Black,3 ratings,4.6,$499.99 ,https://www.amazon.com/Dell-Latitude-5000-5320-Touch/dp/B09QK6BR4Z/ref=sr_1_1001
Dell,Latitude 7420,14 Inches,1920x1080,apple_ci7,3 GHz,32 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,5 pounds,Silver,,,$749.99 ,https://www.amazon.com/Dell-7420-Touchscreen-Processor-Bluetooth/dp/B0CB9B4M7G/ref=sr_1_997
Dell,XPS 9500 Laptop,15 Inches,3840 x 2160 pixels,core_i7,2.3 GHz,32 GB,1000 GB,NVIDIA GeForce GTX 1650,Nvidia GeForce GTX 1650 Ti,Windows 10 Pro,4 pounds,Platinum Silver,,,$219.99 ,https://www.amazon.com/2020-Dell-XPS-9500-Laptop/dp/B096SLFRCY/ref=sr_1_996
DELL,Latitude 7290,12.5 Inches,1366 x 768 pixels,core_i7,1.9 GHz,16 GB,512 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,3.09 pounds,Black,15 ratings,4.4,$269.94 ,https://www.amazon.com/Dell-Latitude-7290-Business-i7-8650U/dp/B08S581RWJ/ref=sr_1_998
Dell,Inspiron 15,15.6 Inches,,Core i7,,32 GB,1 TB,,Integrated,Windows 11 Pro,,32GB RAM | 1TB SSD,7 ratings,4.4,$949.77 ,https://www.amazon.com/Dell-Inspiron-Touchscreen-Business-Bluetooth/dp/B0BM92YH1Z/ref=sr_1_995
Dell,Latitude 5540 Laptop,15.6 Inches,1920 x 1080 pixels,core_i5,3.4 GHz,16 GB,512 GB,Intel Integrated Graphics,Integrated,Windows 11 Pro,8 pounds,Black,,,"$1,029.29 ",https://www.amazon.com/Dell-Latitude-5540-Laptop-i5-512GB/dp/B0C7ZG92RS/ref=sr_1_994
Dell,Latitude 5430,14 Inches,1920 x 1080 pixels,core_i7_family,4.7 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 10 Pro,5.02 pounds,,5 ratings,3,"$1,479.99 ",https://www.amazon.com/Dell-Latitude-5420-Laptop-ProSupport/dp/B08ZJ8RPJC/ref=sr_1_1006
Dell,Dell Latitude,14 Inches,1920 x 1080,core_i7_4600u,,16 GB,512 GB,Intel HD Graphics 4400,Integrated,Windows 10 Pro,4.05 pounds,Black,32 ratings,3.5,$247.83 ,https://www.amazon.com/Dell-Latitude-UltraBook-1920x1080-Refurbished/dp/B076TGPW2Y/ref=sr_1_993
Dell,Dell Inspiron Laptop,15.6 Inches,,Core i7,,64 GB,2 TB,,Integrated,Windows 11 Home,,Black,56 ratings,4.4,"$1,199.99 ",https://www.amazon.com/Dell-Inspiron-Laptop-Touchscreen-Processor/dp/B0CJB8Z5SY/ref=sr_1_992
Dell,3520,15.6 Inches,1920 x 1080 pixels,core_i3_family,4.4 GHz,16 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11 Pro,,Carbon Black,,,$449.00 ,https://www.amazon.com/Inspiron-15-3520-Business-Laptop/dp/B0CJZDNDCY/ref=sr_1_991
Dell,E7270,12.5 Inches,1920 x 1080 pixels,core_i7_family,2.6 GHz,8 GB,512 GB,Intel HD Graphics,Integrated,Windows 10,3 pounds,Grey,19 ratings,3.9,$236.41 ,https://www.amazon.com/Dell-E7270-Performance-Touchscreen-Professional/dp/B07NHJWC5G/ref=sr_1_989
