brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Apple,MNEP3LL/A,13.3 Inches,2560 x 1600 pixels,Unknown,3.2 GHz,8 GB,256 GB,Apple M2 10-core GPU,Integrated,macOs Ventura,2.8 Pounds,Silver,39 ratings,4.7,$929.00 ,https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0CB7352Y6/ref=sr_1_40
Apple,MVFH2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,1.6 GHz,8 GB,512 GB,Intel UHD Graphics 617,Integrated,Mac OS,2.75 pounds,Space Gray,15 ratings,4.6,$559.00 ,https://www.amazon.com/Apple-MacBook-MVFH2LL-2019-13-3in/dp/B089M4TSF2/ref=sr_1_39
Apple,MPXQ2LL/A,13 Inches,2560 x 1600 pixels,Core i5,2.3 GHz,128 GB,128 GB,Intel,Integrated,macOS 10.14 Mojave,3 Pounds,Silver,"2,340 ratings",4,$385.00 ,https://www.amazon.com/Apple-MacBook-Display-MPXQ2LL-Renewed/dp/B07NNYRRF5/ref=sr_1_38
Apple,MGX72LL/A,13.3 Inches,2560 x 1600 pixels,Core i5-4278U,2.6 GHz,8 GB,128 GB,Intel,Integrated,Mac OS,3.5 Pounds,Aluminum Silver,763 ratings,4.1,$355.00 ,https://www.amazon.com/Apple-MacBook-13-3in-Retina-Laptop/dp/B07G29RCBD/ref=sr_1_37
Apple,MJLQ2LL/A,15.4 Inches,2560 x 1600 pixels,Core i7,2.2 GHz,16 GB,256 GB,Intel Iris 5200 Pro,Integrated,OS X 10.10 Yosemite,,Silver,"1,221 ratings",4.1,$374.62 ,https://www.amazon.com/Apple-Macbook-MJLQ2LL-15-inch-Processor/dp/B07ZFZ33SK/ref=sr_1_36
Apple,CRTAPMF865LLARB,12 Inches,2560 x 1600 pixels,Core M Family,1.2 GHz,8 GB,512 GB,Intel HD Graphics 515,Integrated,Mac OS X 10.10,2.6 Pounds,Silver,41 ratings,3.9,$251.99 ,https://www.amazon.com/Apple-MacBook-MF865LL-12-inch-Display/dp/B06XGJTNNK/ref=sr_1_34
Apple,Mac Mini,15.6 Inches,2560 x 1600 pixels,Core i7,3 GHz,16 GB,1 TB,Integrated Graphics,Integrated,Mac OS,2.03 pounds,Silver,68 ratings,3.8,$351.17 ,https://www.amazon.com/Apple-Mac-Mini-MGEQ2LL-Renewed/dp/B084GBZGDY/ref=sr_1_819
Apple,MacBook Pro,14.2-inch,3024x1964,Apple M3 Pro,depend,Apple M3 Pro Chip,1TB,Up to 40-core GPU,Integrated,mac_os,"(M3 Pro): 3.5 pounds (1.60 kg), (M3 Max): 3.6 pounds (1.63 kg)",Space Black,13 ratings,4.1,"$1,799.00 ",https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-18%E2%80%91core/dp/B0CM5KK44S/ref=sr_1_33
Apple,ME866LLA,13.3 Inches,2560 x 1600 pixels,Core i5-4278U,2.6 GHz,8 GB,256 GB,Intel Iris Graphics,Integrated,macOS 10.14 Mojave,1.57 Kilograms,Silver,277 ratings,4.1,$364.00 ,https://www.amazon.com/Apple-Macbook-FE865LL-dual-core-Refurbished/dp/B01N758MKT/ref=sr_1_32
Apple,ME865LL/A,13.3 Inches,2560 x 1600,Core i5,2.9 GHz,8 GB,256 GB,Intel Iris Graphics,Integrated,OS X 10.9 Mavericks,3.5 Pounds,Silver,214 ratings,4.1,$339.00 ,https://www.amazon.com/Apple-MacBook-ME865LL-13-3-Inch-Refurbished/dp/B07J1TX7B9/ref=sr_1_31
Apple,Mvvm2ll/a,16 Inches,2560 x 1600 pixels,2.3GHz Intel Core i9,2.3 GHz,16 GB,1 TB,Intel UHD Graphics 630,dedicated,Mac OS,4.3 Pounds,Space Gray,411 ratings,4.2,$769.00 ,https://www.amazon.com/Apple-MacBook-16-inch-Storage-2-3GHz/dp/B08HKQJ5D3/ref=sr_1_30
Apple,5F855LL/A,12 Inches,2560 x 1440 pixels,Intel Mobile CPU,1.1 GHz,8 GB,256 GB,Intel HD Graphics 5300,Integrated,OS X 10.10 Yosemite,,Silver,56 ratings,3.9,$329.77 ,https://www.amazon.com/Apple-Macbook-Retina-Display-Laptop/dp/B01DUMUWN4/ref=sr_1_29
Apple,MLXW3LL/A,13.6 Inches,2560 x 1600 pixels,Apple M2 chip,3.2 GHz,8 GB,256 GB,Apple M2 8-core GPU,Integrated,macOs Ventura,2.7 pounds,Space Gray,66 ratings,4.7,$899.99 ,https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0CB74GC69/ref=sr_1_28
Apple,MacBook Pro,13.3-inch,resolutionx227,Apple M2 chip,3.2 GHz,8 GB,256 GB,Apple 10-core GPU,Integrated,mac_os,3.0 pounds (1.4 kg),Space Gray,"1,183 ratings",4.7,"$1,099.00 ",https://www.amazon.com/2022-Apple-MacBook-Laptop-chip/dp/B0B3C57XLR/ref=sr_1_27
Apple,MF839LL/A-cr,13.3 Inches,2560 x 1600 pixels,Core i5,2.7 GHz,8 GB,128 GB,Intel Iris Graphics 6100,Integrated,Mac OS,3.46 Pounds,Silver,21 ratings,3.4,$259.00 ,https://www.amazon.com/Apple-MF839LL-13-3-Inch-Discontinued-Manufacturer/dp/B07DWFD8FQ/ref=sr_1_26
Apple,MJVE2LL/A-CR,13.3 Inches,1440 x 900 pixels,Core i5,1.6 GHz,4 GB,128 GB,Intel HD Graphics 6000,Integrated,Mac OS,3 Pounds,Silver,"1,950 ratings",4.2,$249.99 ,https://www.amazon.com/Apple-MacBook-MJVE2LL-13-inch-Refurbished/dp/B013HD3INW/ref=sr_1_25
Apple,MKGR3LL/A,14,1366 x 768 pixels,Apple M1 Pro,3.2,32 GB,512 GB,Apple M1 Pro 14-core GPU,Integrated,MacOS Ventura,3.5 pounds,Silver,,,"$1,649.00 ",https://www.amazon.com/Apple-MacBook-14-inch-Storage-English/dp/B0CLF3HCP4/ref=sr_1_768
Apple,Mvvm2ll/a,16 Inches,2560 x 1600 pixels,Intel,2.4 GHz,32 GB,4 TB,Intel UHD Graphics 630,Integrated,Mac OS,4.3 pounds,Space Gray,,,"$2,400.00 ",https://www.amazon.com/Apple-MacBook-2-4GHz-Intel-Renewed/dp/B0BJWLTSJ6/ref=sr_1_720
Apple,MacBook Pro,13 Inches,2560 x 1600 pixels,Apple M1,3 GHz,16 GB,512 GB,Apple,Integrated,macOS 12 Monterey,5 Pounds,Silver,,,"$1,079.00 ",https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0BZTHD1RP/ref=sr_1_696
Apple,Mid-2022 Apple MacBook,13 Inches,2560 x 1600 pixels,Apple M2 ,3.4 GHz,24 GB,1 TB,10-core GPU,Integrated,Mac OS,6 Pounds,,5 ratings,5,"$1,799.00 ",https://www.amazon.com/Mid-2022-Apple-MacBook-Prowith-13-3-inch/dp/B0BZTF5XWP/ref=sr_1_672
Apple,Z1AU00299,14 Inches,3024 x 1964 Pixels,Apple M3 Pro,4 GHz,18 GB,1 TB,Apple M3 Pro 11C CPU - 14C GPU,Integrated,Mac OS,5 Pounds,Space Black,,,"$2,199.00 ",https://www.amazon.com/Apple-CTO-MacBook-Pro-14/dp/B0CPN4VWFW/ref=sr_1_648
Apple,MVVJ2LL/A,16 Inches,2560 x 1600 pixels,Intel Core i9,2.4 GHz,64 GB,4 TB,Intel,Integrated,macOS 12 Monterey,,Space Gray,,,"$2,300.00 ",https://www.amazon.com/Apple-MacBook-2-4GHz-16-inch-Renewed/dp/B0BRL85FTL/ref=sr_1_624
Apple,Myda2ll/a,13.3 Inches,2048x1536,Apple M1,3.2 GHz,16 GB,1 TB,8-core GPU,Integrated,macOS,6 Pounds,Silver,3 ratings,5,"$1,214.11 ",https://www.amazon.com/Apple-MacBook-Retina-Display-Renewed/dp/B09TPLC5QR/ref=sr_1_600
Apple,MGN63LL/A,13.3 Inches,2560 x 1600 pixels,Apple M1,3.2 GHz,16 GB,256 GB,7-core GPU,Integrated,macOS Monterey,2.8 pounds,Gold,2 ratings,2.9,$928.99 ,https://www.amazon.com/Apple-MacBook-256GB-Storage-Renewed/dp/B09V5Q3STN/ref=sr_1_576
Apple,macBook Pro,16,2048 x 1280,Core i9,2.3 GHz,16 GB,2 TB,AMD Radeon Pro 5500M,Integrated,MacOS ventura,4.3 pounds,Space Gray,,,$959.97 ,https://www.amazon.com/Apple-MacBook-16-inch-English-Renewed/dp/B0CNHZN655/ref=sr_1_528
Apple,Z15T0005G,13.6,2560 x 1600 pixels,Apple M2,3.4,16 GB,512 GB,Apple,Integrated,macOS 12 Monterey,2.7 pounds,,,,"$1,599.96 ",https://www.amazon.com/Apple-2022-MacBook-512GB-Storage/dp/B0BSJPFT4V/ref=sr_1_504
Apple,MacBook Air,13.3 Inches,1440 x 900 pixels,Core i7,1.7 GHz,8 GB,512 GB,Intel HD Graphics 5000,Integrated,macOS 10.14 Mojave,2.96 Pounds,,4 ratings,2.7,$349.99 ,https://www.amazon.com/Apple-MacBook-i7-4650U-Silver-Refurbished/dp/B01N2ARJNK/ref=sr_1_480
Apple,MNQF2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,3.1 GHz,16 GB,512 GB,Intel Iris Graphics 550,"Integrated, Dedicated",macOS 10.15 Catalina,3.02 pounds ,Space Gray,,,$429.97 ,https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0BCL686GL/ref=sr_1_456
Apple,5RE82LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,1.6 GHz,8 GB,128 GB,Intel UHD Graphics 617,Integrated,Mac OS,2.75 pounds,Space Gray,98 ratings,4.7,$748.94 ,https://www.amazon.com/Apple-13-3in-MacBook-Graphics-Renewed/dp/B07Y8MFWW9/ref=sr_1_432
Apple,DDMF841_16M256D_R,13 Inches,2560 x 1600 pixels,Core i5,2.9GHz,8 GB,256 GB,Intel Iris Graphics 6100,Integrated,macOS 10.12 Sierra,3.48 Pounds,Silver,14 ratings,3.6,$325.00 ,https://www.amazon.com/MacBook-2-9GHz-MF841LL-Memory-Refurbished/dp/B07B8XGJG6/ref=sr_1_431
Apple,MGN63LL/A,13.3 Inches,2560 x 1600 pixels,Apple M1,3.2 GHz,8 GB,512 GB,7-core GPU,Integrated,macOS Ventura,2.8 pounds,Gold,,,$769.00 ,https://www.amazon.com/Apple-MacBook-Storage-English-Renewed/dp/B0CNHCXMCQ/ref=sr_1_430
Apple,MacBook Air,15 Inches,2560 x 1600 pixels,M2,3.2 GHz,8 GB,256 GB,Apple M2 10-core GPU,Integrated,Mac OS,6.3 Pounds,Silver,,,"$1,394.95 ",https://www.amazon.com/Apple-MacBook-15-inch-Storage-English/dp/B0CN283JTQ/ref=sr_1_429
Apple,A1708,13.3 Inches,2560 x 1600 pixels,Core i7 6600U,2.4 GHz,16 GB,256 GB,Intel Iris Graphics 540,Integrated,Mac OS,3.02 Pounds,Gray,17 ratings,3.8,$602.57 ,https://www.amazon.com/Apple-MacBook-A1708-i7-6660u-Renewed/dp/B082YH6RYT/ref=sr_1_428
Apple,MVVK2LL/A,16 Inches,2560 x 1600 pixels,Intel Core i9,2.4 GHz,64 GB,512 GB,AMD Radeon Pro 5500M,Dedicated,macOS Big Sur, 4.3 pounds,Space Gray,,,$989.97 ,https://www.amazon.com/Apple-MacBook-16-inch-Storage-English/dp/B0CNBFJCQ8/ref=sr_1_427
Apple,MUHN2LL/A,13.3 Inches,2560 x 1600 pixels,Intel Core i7,1.7 GHz,8 GB,128 GB,Intel Iris Plus Graphics 645,Integrated,macOS 10.14 Mojave,3.02 Pounds,Space Gray,,,$875.14 ,https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0CBT22LHC/ref=sr_1_425
Apple,DDMF840_16M512D_R,13.3 Inches,2560 x 1600 pixels,Core i5,2.7 GHz,16 GB,512 GB,Intel Iris Graphics 6100,Integrated,Mac OS,3.49 Pounds,,16 ratings,3.2,$469.00 ,https://www.amazon.com/Apple-MacBook-2-7GHz-MF840LL-Renewed/dp/B0784J6TBK/ref=sr_1_422
Apple,MLH42LL/A,15 Inches,2560 x 1600 pixels,Core i7,2.9 GHz,16 GB,2 TB,Intel HD Graphics 530,Dedicated,macOS 10.14 Mojave,4 Pounds,Space Gray,20 ratings,3.7,$894.00 ,https://www.amazon.com/Apple-MacBook-MLH42LL-15-inch-Quad-core/dp/B0858DX4SH/ref=sr_1_421
Apple,MWTJ2LL/A,13.3 Inches,2560 x 1600 pixels,Intel Core i5,1.1 GHz,8 GB,256 GB,Intel Iris Plus,Integrated,MacOS,4.9 Pounds,Silver,22 ratings,4,$514.00 ,https://www.amazon.com/Apple-Macbook-13-3in-MWTJ2LL-Early/dp/B08VWGMVN3/ref=sr_1_420
Apple,Z15S000D2,13,2560 x 1600 pixels,Apple M2,3.4 GHz,16 GB,512 GB,Intel HD Graphics 520,Integrated,macOS 12 Monterey, 2.7 pounds,,16 ratings,4.7,$949.00 ,https://www.amazon.com/Apple-2022-MacBook-512GB-Storage/dp/B0BGZR4KCG/ref=sr_1_419
Apple,5REC2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,1.6 GHz,8 GB,256 GB,Intel UHD Graphics 617,Integrated,Mac OS,2.75 pounds,Silver,27 ratings,3.7,$700.00 ,https://www.amazon.com/Apple-13-3in-MacBook-Graphics-Renewed/dp/B07Y8L32B5/ref=sr_1_418
Apple,CR_5R9R2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,2.3 GHz,8 GB,512 GB,Intel Iris Plus Graphics 655,Integrated,macOS 10.13 High Sierra,3.02 pounds,Space Gray,7 ratings,3.1,$800.00 ,https://www.amazon.com/Apple-i5-8259U-Quad-Core-802-11ac-Bluetooth/dp/B07PYZP781/ref=sr_1_417
Apple,MLH32LL/A,15.4 Inches,2560 x 1600 pixels,Core i7,2.6 GHz,16 GB,512 GB,AMD Radeon Pro 450,Dedicated,macOS 10.15 Catalina,4.02 pounds,Space Gray,,,$460.77 ,https://www.amazon.com/Apple-MacBook-15-4-inch-Storage-English/dp/B0BCN3Q7NP/ref=sr_1_416
Apple,MVH42LL/A,13.3 Inches,2560 x 1600 pixels,Intel,1.1 GHz,8 GB,256GB,Intel Iris Plus,Integrated,macOS Ventura,2.8 Pounds,,,,$584.97 ,https://www.amazon.com/Apple-MacBook-1-1GHz-English-Renewed/dp/B0CCZVJSGF/ref=sr_1_413
Apple,MKGT3LL/A,14 Inches,2560 x 1600 pixels,Apple M1 Pro,3.1 GHz,16 GB,1 TB,M1 Pro 16â€‘core GPU,Integrated,Mac OS X 11 Ventura,3.5 pounds,Silver,38 ratings,4.8,"$1,689.00 ",https://www.amazon.com/Apple-MacBook-10-core-14-inch-Storage/dp/B0C8GNKMLS/ref=sr_1_411
Apple,Mqd32ll/a,13.3 Inches,2560 x 1600 pixels,Core i5,1.8 GHz,8 GB,512 GB,Intel HD Graphics 6000,Integrated,Chrome OS,5.3 Pounds,Silver,9 ratings,3.6,$345.00 ,https://www.amazon.com/Apple-MacBook-Processor-Z0UV0LL-Refurbished/dp/B07J1ZHY6X/ref=sr_1_410
Apple,mf841ll/a,13.3 Inches,2560 x 1600 pixels,Core i5,2.9 GHz,16 GB,512 GB,Intel Iris Graphics 6100,"Intel Iris Graphics 6100, Integrated",Mac OS,3.5 Pounds,Silver,18 ratings,3.7,$418.00 ,https://www.amazon.com/Apple-MacBook-MF841LL-2-9GHz-Refurbished/dp/B07GFRXGCJ/ref=sr_1_409
Apple,MPXQ2LL/A,13.3 Inches,2560x1600,Core i7,2.5 GHz,16 GB,512 GB,Intel Iris Plus Graphics 640,Integrated,macOS 10.14 Mojave,3.02 Pounds,Silver,5 ratings,3.5,$599.99 ,https://www.amazon.com/Apple-MacBook-MPXQ2LL-13-3-inch-Display/dp/B08SDVQBYY/ref=sr_1_455
Apple,MPXQ2LL/A,13 Inches,2560 x 1600 pixels,Core i5,2.3 GHz,8 GB,512 GB,Intel Iris Plus Graphics 640,Integrated,Mac OS X 10.0 Cheetah,3 Pounds,Silver,6 ratings,4.8,$494.99 ,https://www.amazon.com/Apple-MacBook-MPXQ2LL-Mid-2017-13-3-inch/dp/B08W2FP75P/ref=sr_1_454
Apple,5PTT2LL/A,15.4 Inches,2560 x 1600 pixels,Intel Core i7,2.9 GHz,16 GB,512 GB,"Intel HD Graphics 630, AMD Radeon Pro 560",Integrated,Mac OS,4.02 Pounds,Space Gray,15 ratings,3.3,$800.00 ,https://www.amazon.com/Apple-i7-7820HQ-Quad-Core-Bluetooth-Refurbished/dp/B07K1KN7MQ/ref=sr_1_453
Apple,MacBook Pro,13,2560 x 1600 pixels,M2,3.4 GHz,16 GB,256 GB,Apple,Integrated,macOS 12 Monterey,3 Pounds,,46 ratings,4.7,$899.00 ,https://www.amazon.com/Apple-MacBook-13-inch-256GB-Storage/dp/B0B488MSTG/ref=sr_1_452
Apple,MLH32LL/A,15 Inches,2560 x 1600 pixels,Core i7,2.7 GHz,16 GB,512 GB,AMD Radeon Pro / Intel HD Graphics 530,Dedicated,macOS 10.13 High Sierra,3 Pounds,,28 ratings,3.5,$699.99 ,https://www.amazon.com/Apple-MacBook-Retina-MLH32LL-Renewed/dp/B0987ZZZ8V/ref=sr_1_451
Apple,MREC2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5,1.6 GHz,16 GB,1.5 TB,Intel UHD Graphics 617,Integrated,macOS 10.14 Mojave,2.75 Pounds,Silver,,,$578.31 ,https://www.amazon.com/Apple-MacBook-13-Inch-English-Renewed/dp/B0CBSZJDYV/ref=sr_1_450
Apple,MJVE2LL/A,13.3 Inches,2560 x 1600 pixels,Core i5 Family,1.6 GHz,4 GB,256 GB,Intel HD Graphics 6000,Integrated,OS X 10.10 Yosemite,2.9 Pounds,Silver,142 ratings,4.2,$280.00 ,https://www.amazon.com/Apple-MacBook-MJVE2LL-i5-5250U-Refurbished/dp/B07JWCC8YG/ref=sr_1_449
Apple,MUHQ2LL/A,13.3 Inches,2560 x 1600 pixels,I7-8557U,1.7 GHz,8 GB,128 GB,Intel Iris Plus Graphics 645,Integrated,macOS Ventura,3 Pounds,Silver,,,$476.12 ,https://www.amazon.com/Apple-MacBook-13-inch-Storage-English/dp/B0CDMJ19HF/ref=sr_1_448
Apple,MPXV2LL/A,13 Inches,1366 x 768 pixels,Intel Core i7,3.1 GHz,16 GB,1 TB,Intel Iris Plus Graphics 650,Integrated,Mac OS,3.02 Pounds,Space Gray,,,"$1,118.00 ",https://www.amazon.com/MacBook-Touch-3-1GHz-2017-Renewed/dp/B09B17SL6Z/ref=sr_1_447
Apple,MPXV2LL/A,13.3 Inches,2560 x 1600 pixels,Intel Core i5,3.1 GHz,8 GB,512 GB,Intel Iris Plus Graphics 650,Integrated,Mac OS,3.02 Pounds,Silver,81 ratings,3.7,$455.00 ,https://www.amazon.com/Apple-MacBook-MPXV2LL-i5-7267U-Renewed/dp/B07X379VC8/ref=sr_1_446
Apple,MLH12LL/A,13.3 Inches,,Core i7,3.3 GHz,8 GB,512 GB,Intel Iris Graphics 550,Dedicated,Mac OS,3.02 Pounds,Space Gray,,,$649.00 ,https://www.amazon.com/Apple-MacBook-13-3-inch-MLH12LL-Intel/dp/B0833CDDGV/ref=sr_1_445
Apple,NB-AP-MACBOOK_PRO_15__MGXG2LLA-NB-i7-2.8,15 Inches,2560 x 1600 pixels,Core i7-4980HQ,2.8 GHz,16 GB,1 TB,NVIDIA GeForce GT 750M,Dedicated,MacOS,4.5 Pounds,,179 ratings,3.9,$649.99 ,https://www.amazon.com/MacBook-2-8GHz-Retina-MGXG2LL-Refurbished/dp/B07B8XX1Z1/ref=sr_1_443
Apple,A2179,13.3 Inches,2560 x 1600 pixels,Intel Core i7,1.2 GHz,8 GB,1 TB,Intel Iris Plus,Integrated,macOS 10.15 Catalina,3 Pounds,Space Gray,,,$619.97 ,https://www.amazon.com/Apple-MacBook-13-inch-English-Renewed/dp/B0CNG522PY/ref=sr_1_441
Apple,5WP42LL/A,13.3 Inches,2560 x 1600,Intel Core i5,2 GHz,16 GB,512 GB,Intel Iris Plus,Integrated,Mac OS,3.5 Pounds,Space Gray,5 ratings,4.8,$899.00 ,https://www.amazon.com/Apple-MacBook-Quad-Core-2-0GHz-Renewed/dp/B08ZF171WD/ref=sr_1_439
Apple,MVVK2LL/A,16 Inches,2560 x 1600 pixels,Core i9,2.4 GHz,32 GB,2 TB,AMD Radeon Pro 5500M,Integrated,macOS 11 Big Sur,3 Pounds,Space Gray,,,"$1,168.47 ",https://www.amazon.com/Apple-MacBook-16-inch-Storage-English/dp/B0CNB9FCJZ/ref=sr_1_436
Apple,MacBook,12 Inches,2560 x 1440 pixels,core_m,1.1 GHz,8 GB,512 GB,Intel HD Graphics 5300,Integrated,Chrome OS,2.03 Pounds,,2 ratings,1.9,$385.00 ,https://www.amazon.com/Apple-MacBook-MJY42LL-M-5Y51-Refurbished/dp/B07HWL4KDG/ref=sr_1_435
Apple,MGNA3LL/A,13.3 Inches,2560 x 1600 pixels,Apple M1,3.2 GHz,8 GB,512 GB,8 Core GPU,Integrated,macOS Big Sur,2.8 pounds,Silver,,,$759.00 ,https://www.amazon.com/Apple-MacBook-Storage-English-Renewed/dp/B0CNHCKWLQ/ref=sr_1_434
