brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,Legion 7 16ITHg6,16 Inches,2560 x 1600 pixels,intel_core_i9,2.2 GHz,32 GB,2 TB,NVIDIA GeForce RTX 4080,Dedicated,Windows 11 Home,6.17 pounds,Gray,3 ratings,4.6,"$2,686.76",https://www.amazon.com/Lenovo-Legion-Display-i9-13900HX-GeForce/dp/B0BWSC59MR/ref=sr_1_188
Lenovo,Thinkpad,14 Inches,1366 x 768,apple_ci5,1.9 GHz,8 GB,250 GB,INTEL HD,Integrated,Windows 10 Pro,4 pounds,Black,211 ratings,3.9,$145.98,https://www.amazon.com/Lenovo-ThinkPad-T440-NoteBook-Professional/dp/B072KPHQBP/ref=sr_1_183
Lenovo,Chromebook,11.6 Inches,1366 x 768 pixels,mediatek_mt8173c,2.1 GHz,4 GB,32 GB,PowerVR GX6250,Integrated,Chrome OS,3 pounds,Black,"1,531 ratings",4.0,$84.99,https://www.amazon.com/Lenovo-11-6-300e-Chromebook-Touchscreen/dp/B07RJZMC49/ref=sr_1_180
Lenovo,Ideapad,15.6 Inches,1920 x 1080 pixels,pentium,1.1 GHz,4 GB,128 GB,Intel UHD Graphics 605,Integrated,Windows 11,3.74 pounds,Gray,59 ratings,4.3,$270.00,https://www.amazon.com/Lenovo-Quad-Core-Processor-Subscription-Included/dp/B09L2HTYRJ/ref=sr_1_179
Lenovo,IdeaPad 3 15ITL6,15.6 Inches,1920 x 1080 pixels,core_i5_family,2.4 GHz,20 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,3.74 pounds,Gray,20 ratings,4.4,$532.50,https://www.amazon.com/Lenovo-IdeaPad-Touchscreen-i5-1135G7-Processor/dp/B0C6RJVFXX/ref=sr_1_177
Lenovo,Lenovo IdeaPad,15.6 Inches,,Pentium,,20 GB,1 TB,,Integrated,Windows 11 S,,Abyss Blue,97 ratings,4.2,$599.99,https://www.amazon.com/Lenovo-IdeaPad-Laptop-Microsoft-Quad-Core/dp/B0BY5VQGSR/ref=sr_1_223
Lenovo,Lenovo ThinkPad,14 Inches,1366x768,core_i5_family,2.3 hertz,8 GB,1000 GB,Intel UHD Graphics 520,Integrated,Windows 10 Pro,5 pounds,,68 ratings,4.5,$229.99,https://www.amazon.com/Lenovo-Bluetooth-Thunderbolt-Fingerprint-Professional/dp/B08J7XZJLR/ref=sr_1_178
Lenovo,Legion 5,17.3 Inches,1920 x 1080 pixels,ryzen_7,3.2 GHz,64 GB,1 TB,NVIDIA GeForce RTX 3050,Dedicated,Windows 11 Home,5.07 pounds,Black,15 ratings,4.7,"$1,299.99",https://www.amazon.com/Lenovo-Legion-7-5800H-Keyboard-FreeSync/dp/B0BN5MVJKB/ref=sr_1_222
Lenovo,IdeaPad,14 Inches,1366x768,amd_r_series,1.6 GHz,4 GB,64 GB,AMD Radeon R4 Series,Integrated,Windows 10,3.1 pounds,Silver,"1,599 ratings",3.9,$188.98,https://www.amazon.com/Lenovo-S150-81VS0001US-A6-9220e-Bluetooth/dp/B081ZGN8JQ/ref=sr_1_181
Lenovo,81WR000AUS,15.6 Inches,1366x768,core_i5_10210u,1.6 GHz,8 GB,512 GB,Intel UHD Graphics,Integrated,Windows 10 Home,5.04 pounds,Abyss blue,140 ratings,4.4,$514.99,https://www.amazon.com/Lenovo-IdeaPad-1366x768-Touchscreen-i5-10210U/dp/B091KHLNWY/ref=sr_1_187
Lenovo,11e 6th gen,11.6 Inches,,Pentium N5000,,8 GB,512 GB,,Integrated,Windows 10 Pro,,Black,10 ratings,4.2,$369.99,https://www.amazon.com/Lenovo-11e-Touchscreen-Computers-Education/dp/B09FPRSH6R/ref=sr_1_220
Lenovo,Lenovo ThinkPad T16,16 Inches,1920x1200,apple_ci7,3.5 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.9 pounds,Black,,,"$1,549.00",https://www.amazon.com/Lenovo-ThinkPad-T16-Touchscreen-Fingerprint/dp/B0CFHDLZ2G/ref=sr_1_219
Lenovo,Lenovo Ideapad 1i,14,1366 x 768 pixels,celeron_n4020,1.1 GHz,4 GB,192 GB,Intel UHD Graphics,Integrated,Windows 11 S,3.08 pounds,Silver,29 ratings,4.2,$189.99,https://www.amazon.com/Lenovo-Ideapad-1i-Display-Celeron/dp/B0BL2J3GFD/ref=sr_1_221
Lenovo,T470s,14,1920 x 1080 pixels,core_i5_7300u,2.8 GHz,8 GB,256 GB,,Integrated,Windows 10 Pro,4.09 pounds,,3 ratings,5.0,$199.00,https://www.amazon.com/Lenovo-Thinkpad-T470s-Business-i5-7300U/dp/B0CDGLRXHP/ref=sr_1_216
Lenovo,Lenovo Thinkpad T470s Laptop,14 Inches,1920 x 1080 pixels,core_i7_6600u,2.6 GHz,20 GB,512 GB,i7-6600U,Integrated,Windows 10 Pro,4.08 pounds,,24 ratings,3.7,$226.88,https://www.amazon.com/Lenovo-ThinkPad-i7-6600U-Windows-Renewed/dp/B0BX6JSPMY/ref=sr_1_215
Lenovo,Lenovo IdeaPad Slim 5i Laptop,16 Inches,1920 x 1200 pixels,core_i7,5 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,4.17 pounds,Blue,62 ratings,4.1,$869.99,https://www.amazon.com/Lenovo-IdeaPad-Slim-Laptop-Touchscreen/dp/B0CJJ6RBQ5/ref=sr_1_214
Lenovo,Lenovo Yoga 7i,16 Inches,,core_i5,3.4 GHz,16 GB,1 TB,Intel Iris Xe Graphics eligible,Integrated,Windows 11 Pro,4.5 pounds,Gray,1 rating,5.0,$749.00,https://www.amazon.com/Lenovo-i5-1335U-i7-1255u-Fingerprint-Thunderbolt/dp/B0CL6GKX5W/ref=sr_1_217
Lenovo,Lenovo - IdeaPad,14 Inches,1366 x 768,amd_a_series,1.6 GHz,4 GB,64 GB,AMD Radeon R4,Dedicated,Windows 10,4.4 pounds,Platinum Gray,"3,052 ratings",4.0,$192.00,https://www.amazon.com/Lenovo-IdeaPad-ComputerAMD-A6-9220e-Microsoft/dp/B081GMHQLR/ref=sr_1_213
Lenovo,IdeaPad Gaming 3,15.6 Inches,1920 x 1080 pixels,ryzen_5_5600h,3.3 GHz,8 GB,256 GB,NVIDIA GeForce RTX 3050 Ti,Dedicated,Windows 11,4.95 pounds,Black,18 ratings,4.5,$779.00,https://www.amazon.com/Lenovo-IdeaPad-Gaming-Laptop-Display/dp/B0BKQW8WN5/ref=sr_1_218
Lenovo,Lenovo Thinkpad T470s Laptop,14 Inches,1920 x 1080 pixels,core_i7_7500u,2.8 GHz,16 GB,256 GB,i7-7600U,Integrated,Windows 10 Pro,4.14 pounds,,2 ratings,5.0,$315.49,https://www.amazon.com/Lenovo-ThinkPad-T470s-i7-7600U-Windows/dp/B0BY27RYDT/ref=sr_1_211
Lenovo,Lenovo IdeaPad,15.6 Inches,1920 x 1080 pixels,intel_pentium_d,3.3 GHz,20 GB,1 TB,Intel UHD Graphics,Integrated,Windows 11,3.7 pounds,Abyss Blue,1 rating,3.0,$399.00,https://www.amazon.com/Lenovo-IdeaPad-Students-Microsoft-Personal/dp/B0CCP6K3ST/ref=sr_1_210
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 pixels,apple_ci5,3.1 GHz,32 GB,1 TB,NVIDIA GeForce GTX 1650,Dedicated,Windows 10 Home,4.96 pounds,Black,111 ratings,4.5,$765.15,https://www.amazon.com/Lenovo-IdeaPad-Gaming-i5-11300H-Processor/dp/B09M969B8N/ref=sr_1_209
Lenovo,IdeaPad,15.6 Inches,1920 x 1080 pixels,apple_ci5,4.2 GHz,20 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11,3.7 pounds,Arctic Grey,7 ratings,4.3,$649.00,https://www.amazon.com/Lenovo-IdeaPad-Touchscreen-i5-1135G7-Quad-Core/dp/B0C74PCLVG/ref=sr_1_212
Lenovo,,15.6 Inches,,Athlon,,20 GB,2 TB,,Integrated,Windows 11,,,171 ratings,4.0,$439.99,https://www.amazon.com/Lenovo-IdeaPad-Bluetooth-Anti-Glare-Dual-core/dp/B0C2RMQG91/ref=sr_1_255
Lenovo,Intel Core i5,14 Inches,1920 x 1080 pixels,apple_ci5,2.4 GHz,12 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,3.31 pounds,Black,2 ratings,5.0,$469.00,https://www.amazon.com/Lenovo-Ideapad-Intel-i7-1160G7-Platinum/dp/B0CDGBZJ19/ref=sr_1_254
Lenovo,,17.3 Inches,1600 x 900 pixels,core_i5_1035g1,1 GHz,16 GB,,,Integrated,,4.84 pounds,Blue,66 ratings,4.2,$789.00,https://www.amazon.com/Lenovo-Thinkbook13s-IWL-Notebook-i5-8265U-Graphics/dp/B08BKVJV2N/ref=sr_1_252
Lenovo,Lenovo IdeaPad 3i Laptop,15.6 Inches,1920 x 1080 pixels,core_i5,4.2 GHz,12 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 S,3.74 pounds,Arctic Grey,"1,610 ratings",4.3,$559.99,https://www.amazon.com/Lenovo-IdeaPad-3i-Laptop-Touchscreen/dp/B0CG69MXZD/ref=sr_1_251
Lenovo,82KT00V8US,14,1920 x 1080 pixels,ryzen_7,1.8 GHz,8 GB,512 GB,,Integrated,Windows 11 Home,4.59 pounds,,,,$447.00,https://www.amazon.com/Lenovo-Ideapad-Laptop-Ryzen-Windows/dp/B0C3QG3SYH/ref=sr_1_247
Lenovo,Lenovo,15.6 Inches,1920 x 1080 pixels,apple_ci5,4.2 GHz,20 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.78 pounds,Gray,,,$699.00,https://www.amazon.com/Lenovo-Ideapad-Touchscreen-Business-i5-1135G7/dp/B0CJLL4MLR/ref=sr_1_246
Lenovo,Legion Pro 7i Gen 8,15.6 Inches,2560 x 1600 pixels,core_i9,3.9 GHz,32 GB,2 TB,NVIDIA GeForce RTX 4090,Dedicated,Windows 11 Home,6.17 pounds,Onyx Grey,1 rating,4.0,"$3,074.99",https://www.amazon.com/Lenovo-Legion-i9-13900HX-GeForce-Windows/dp/B0C15GQMTY/ref=sr_1_250
Lenovo,Lenovo ideapad Flex 5,14 Inches,1920 x 1080 pixels,ryzen_5_5500u,2.1 GHz,16 GB,256 GB,AMD Radeon Graphics,Integrated,Windows 11,4.99 pounds,Graphite Grey,"1,367 ratings",4.4,$609.96,https://www.amazon.com/Lenovo-Processor-Graphics-82HU00JWUS-Graphite/dp/B09BG96KFJ/ref=sr_1_248
Lenovo,20TJ,16 Inches,1920 x 1200 pixels,amd_ryzen_7,4.5 GHz,40 GB,2 TB,AMD Radeon Graphics,Integrated,Windows 11 Pro,3.9 pounds,Black,1 rating,5.0,"$1,069.00",https://www.amazon.com/Lenovo-ThinkPad-Business-Touchscreen-Fingerprint/dp/B0CJ42862K/ref=sr_1_249
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 pixels,pentium_dual_core,1.2 GHz,8 GB,128 GB,Intel UHD Graphics 605,Integrated,Windows 11,3.74 pounds,Gray,53 ratings,3.9,$269.99,https://www.amazon.com/Lenovo-IdeaPad-15-6-Screen-Laptop/dp/B09KMR6G68/ref=sr_1_243
LENOVO,Lenovo IdeaPad,15.6 Inches,,Pentium,,20 GB,1 TB,,Integrated,Windows 11,,Blue,,,$369.99,https://www.amazon.com/LENOVO-IdeaPad-Pentium-Processor-Snowbell/dp/B0CHN85VL9/ref=sr_1_241
,,,,,,,,,,,,,,,$309.00,https://www.amazon.com/Lenovo-Thinkpad-X390-Frequency-Fingeprint/dp/B0CJ54DV3P/ref=sr_1_303
Lenovo,Lenovo Yoga 6 2-in-1 Laptop,13.3 Inches,1920 x 1200 pixels,ryzen_5,4.5 GHz,8 GB,512 GB,AMD Radeon Graphics,Integrated,Windows 11 Home,3.01 pounds,Dark Teal,164 ratings,4.5,$599.99,https://www.amazon.com/Lenovo-Yoga-Laptop-Touchscreen-i5-1135G7/dp/B0CFZRND34/ref=sr_1_253
LENOVO,X260,12.5 Inches,1920x1080,core_i7,2.6 GHz,8 GB,8 GB,Intel,Integrated,Windows 10 Pro,2 pounds,,5 ratings,3.2,$155.90,https://www.amazon.com/Lenovo-ThinkPad-X260-Business-Laptop/dp/B07JD2JVJN/ref=sr_1_244
Lenovo,ThinkPad,15.6 Inches,,Core i5 Family,,16 GB,512 GB,,Integrated,Windows 11 Pro,,Black,,,$999.95,https://www.amazon.com/Lenovo-ThinkPad-T15-i5-1135G7-Fingerprint/dp/B0BMD9D9QY/ref=sr_1_302
Lenovo,T470,14 Inches,1366 x 768 pixels,core_i5,2.4 GHz,8 GB,256 GB,Intel,Integrated,Windows 10 Pro,3.49 pounds,,68 ratings,4.5,$156.00,https://www.amazon.com/Lenovo-Laptop-i5-6300U-Windows-Renewed/dp/B07PY922PM/ref=sr_1_301
Lenovo,yoga 7i 13th i7,14 Inches,2560 x 1440 pixels,core_i7,3.7 GHz,16 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.43 pounds,Grey,1 rating,5.0,"$1,069.00",https://www.amazon.com/Lenovo-i7-1355U-Fingerprint-Thunderbolt-Win11Pro/dp/B0CJV8PYCW/ref=sr_1_299
Lenovo,Ideapad 5,15.6 Inches,1920 x 1080 pixels,core_i7,2.8 GHz,12 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 10 Home,4.4 pounds,Grey,272 ratings,4.3,$699.99,https://www.amazon.com/Lenovo-Touchscreen-i7-1165G7-Keyboard-Fingerprint/dp/B08W54YSPW/ref=sr_1_245
Lenovo,IdeaPad 3 15IAU7,15.6 Inches,1920 x 1080 pixels,core_i5_family,,24 GB,2 TB,Intel UHD Graphics,Integrated,Windows 11 Pro,3.59 pounds,Gray,8 ratings,4.6,$699.99,https://www.amazon.com/Lenovo-IdeaPad-Display-i5-1235U-Processor/dp/B0C8BW77VS/ref=sr_1_298
Lenovo,,12.5 Inches,1366 x 768 pixels,,2.6 GHz,8 GB,256 GB,,Integrated,Windows 10 Pro,4.24 pounds,,57 ratings,4.2,$153.90,https://www.amazon.com/Lenovo-Laptop-i7-5600U-Windows-Renewed/dp/B07RX8L943/ref=sr_1_242
Lenovo,ThinkPad Grade A T480,14 Inches,1366 x 768 pixels,core_i5_8265u,3.59 GHz,16 GB,512 GB,Integrated,Integrated,Windows 10 Pro,5 pounds,Black,11 ratings,4.8,$312.00,https://www.amazon.com/LENOVO-ThinkPad-T480-Computer-i5-8250U/dp/B0C242QKPJ/ref=sr_1_300
Lenovo,,15.6 Inches,1920 x 1080 pixels,pentium,2.3 GHz,8 GB,128 GB,intel,Integrated,Windows 11 Home,3.74 pounds,,10 ratings,4.3,$319.00,https://www.amazon.com/Newest-Lenovo-Ideapad3-Premium-Laptop/dp/B09KQ6JCM1/ref=sr_1_296
Lenovo,2018 X1 Carbon 5,14 Inches,2560x1440,core_i7,3.9 GHz,16 GB,256 NVMe-PCIe,Intel HD Graphics 620,Integrated,Windows 10 Pro,2.49 pounds,Black,9 ratings,3.4,$321.99,https://www.amazon.com/Lenovo-Generation-2560x1440-Fingerprint-Supported/dp/B09C41X3QF/ref=sr_1_294
Lenovo,Lenovo Ideapad,15.6 Inches,1366 x 768 pixels,core_i3_family,1.2 GHz,4 GB,128 GB,Intel UHD Graphics 600,Integrated,Windows 10,4.1 pounds,Almond,25 ratings,4.4,$275.00,https://www.amazon.com/Lenovo-IdeaPad-i3-1005G1-Dual-Core-Processor/dp/B08FMW2Z19/ref=sr_1_295
LENOVO,Lenovo ThinkPad T490,14,,Core i5-8365U,,16 GB,512 GB,,Integrated,Windows 10 Pro,,Black,5 ratings,3.8,$250.00,https://www.amazon.com/LENOVO-ThinkPad-Computer-i5-8365-Processor/dp/B0CBBTPBV1/ref=sr_1_293
Lenovo,e15,3 Inches,1366x768,8032,,8 GB,256 GB,Intel UHD Graphics,Integrated,Windows 10 Pro,4.2 pounds,Black,51 ratings,4.5,$799.99,https://www.amazon.com/Lenovo-ThinkPad-Laptop-i5-10210U-64-bit/dp/B08286CQNH/ref=sr_1_292
Lenovo,Lenovo Thinkpad,14 Inches,1366 x 768 pixels,celeron_n,2.79 GHz,4 GB,64 GB,I5-7300U,Integrated,Windows 10 Pro,4.6 pounds,Dale Blue|4GB-64GB,28 ratings,4.5,$168.99,https://www.amazon.com/Lenovo-14-Chromebook-Processor-Super-Fast/dp/B0CCFSW9ZC/ref=sr_1_297
Lenovo,lenovo Slim 7,14 Inches,1920x1080,core_i7,3.4 GHz,16 GB,1 TB,Intel Iris Xe Graphics eligible,Integrated,Windows 11 Pro,3.13 pounds,Silver,3 ratings,5.0,$980.00,https://www.amazon.com/Lenovo-Business-i7-1260P-Thunderbolt4-Charging/dp/B0CJT819HR/ref=sr_1_290
Lenovo,Ideapad,15.6 Inches,1366 x 768 pixels,athlon,3.2 GHz,20 GB,1 TB,AMD Radeon graphics,Integrated,Windows 11 S,5.49 pounds,,6 ratings,2.6,$317.56,https://www.amazon.com/Lenovo-Anti-Glare-Dual-core-Processor-Accessories/dp/B0C277NN81/ref=sr_1_291
LENOVO,Lenovo P53,15.6 Inches,1920 x 1080 pixels,core_i7_9850h,4.6 GHz,16 GB,512 GB,NVIDIA Quadro T1000,Dedicated,Windows 10 Pro,7.52 pounds,,30 ratings,4.7,$619.00,https://www.amazon.com/ThinkPad-Workstation-Display-Keyboard-Fingerprint/dp/B0CB6CPYTS/ref=sr_1_289
Lenovo,Chromebook C340,15.6 Inches,1920 x 1080,apple_ci3,2.2 GHz,4 GB,64 GB,Intel UHD Graphics 620,Integrated,Chrome OS,4.4 pounds,Mineral Grey,248 ratings,4.3,$301.14,https://www.amazon.com/Lenovo-Chromebook-Processor-Touchscreen-81T90002UX/dp/B07XC7GVRK/ref=sr_1_287
Lenovo,Ideapad,15.6 Inches,1366 x 768 pixels,athlon,2.3 GHz,12 GB,1 TB,AMD Radeon Vega 3,Integrated,Windows 11 Home,3.78 pounds,Gray,116 ratings,4.0,$355.98,https://www.amazon.com/Lenovo-Ideapad-Laptop-Screen-Windows/dp/B08PW6QLGG/ref=sr_1_286
Lenovo,IdeaPad,15.6 Inches,1920 x 1080 pixels,apple_ci5,4.2 GHz,20 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11,3.7 pounds,Arctic Grey,7 ratings,4.3,$649.00,https://www.amazon.com/Lenovo-IdeaPad-Touchscreen-i5-1135G7-Quad-Core/dp/B0C74PCLVG/ref=sr_1_285
Lenovo,Lenovo,11.6 Inches,,Celeron N,,4 GB,32 GB,,Integrated,Chrome OS,,Abyss Bule | Chrome OS,,,$249.00,https://www.amazon.com/Lenovo-Chromebook-Touch-Screen-Processor-OSChrome/dp/B0CBYHT6YJ/ref=sr_1_284
Lenovo,Lenovo Thinkpad,15.6 Inches,1920 x 1080,core_i7_10510u,1.8 GHz,16 GB,1 TB,Intel UHD Graphics,Integrated,Windows 10,5.5 pounds,,74 ratings,4.1,"$1,089.77",https://www.amazon.com/Lenovo-ThinkPad-E15-1920x1080-Anti-Glare/dp/B086TXRPM9/ref=sr_1_283
Lenovo,Lenovo Thinkpad,14 Inches,1920x1080,a_series_quad_core_a8_6500,1.8 GHz,16 GB,512 GB,Intel HD Graphics 620,Integrated,Windows 10,2.57 pounds,Black,167 ratings,3.8,$387.99,https://www.amazon.com/Lenovo-Carbon-6th-Generation-Ultrabook/dp/B07G66MSRH/ref=sr_1_279
Lenovo,81X800EKUS,15.6 Inches,1920 x 1080 pixels,core_i3,3 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 11 S,5.3 pounds,Platinum Gray,11 ratings,4.2,$365.00,https://www.amazon.com/Lenovo-IdeaPad-i3-1115G4-Windows-Platinum/dp/B0BSVLGZ5K/ref=sr_1_282
Lenovo,Lenovo 14W,14 Inches,1920 x 1080 pixels,amd_a6,1.8 GHz,4 GB,64 GB,AMD Radeon Graphics,Integrated,Windows 10 Pro,3.3 pounds,,113 ratings,4.0,$199.00,https://www.amazon.com/Lenovo-Processor-Military-Grade-Durability-Bluetooth/dp/B0BLD3MXR4/ref=sr_1_278
Lenovo,2021,15.6 Inches,1920 x 1080 pixels,amd_ryzen_5_5500u,2.1 GHz,8 GB,512 GB,Integrated AMD Radeon™ Graphics,Integrated,Windows 11,5.29 pounds,Abyss Blue,333 ratings,4.5,$488.98,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-82KU0100US/dp/B09BG83Q5S/ref=sr_1_281
Lenovo,,14 Inches,1366 x 768 pixels,amd_e_series,1.2 GHz,4 GB,64 GB,AMD Radeon Graphics,Integrated,Windows 10 Pro,3.2 pounds,Black,15 ratings,4.1,$219.00,https://www.amazon.com/Lenovo-14w-Gen-Processor-Accessories/dp/B09NRFHD39/ref=sr_1_280
Lenovo,,15.6 Inches,1920 x 1080 pixels,core_i7,2.8 GHz,8 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11,3.87 pounds,Gray,1 rating,5.0,$595.00,https://www.amazon.com/Lenovo-IdeaPad-5i-Graphics-Fingerprint/dp/B0C3B6H6YF/ref=sr_1_275
Lenovo,Lenovo ThinkPad,14 Inches,1920 x 1080 pixels,amd_ryzen_7,1.8 GHz,16 GB,512 GB,AMD Radeon Graphics,Integrated,Windows 11 Pro,3.62 pounds,Black,2 ratings,5.0,$729.99,https://www.amazon.com/Lenovo-Thinkpad-Business-i7-1195G7-Battery/dp/B0BYZXQ44K/ref=sr_1_276
Lenovo,Legion 7 16ITHg6,16 Inches,2560 x 1600 pixels,intel_core_i9,2.2 GHz,32 GB,1 TB,NVIDIA GeForce RTX 4080,Dedicated,Windows 11 Home,6.17 pounds,Gray,2 ratings,5.0,"$2,556.04",https://www.amazon.com/Lenovo-Legion-Display-i9-13900HX-GeForce/dp/B0BWS8YJ6R/ref=sr_1_273
Lenovo,Lenovo Thinkpad Yoga,14 Inches,1920 x 1080 pixels,,,8 GB,,Intel HD Graphics 620,Integrated,Windows 10,3.15 pounds,Information not Available,1 rating,1.0,$245.00,https://www.amazon.com/Lenovo-Thinkpad-20JD-000RUS-i5-7300U-1920x1080/dp/B08KCK2FYR/ref=sr_1_277
Lenovo,ThinkPad T450,14 Inches,1366 x 768 pixels,core_i7_5600u,2.6 GHz,16 GB,480 GB,Intel HD Graphics 5500,"Integrated, Dedicated",Windows 10,3.8 pounds,Black,65 ratings,3.8,$283.60,https://www.amazon.com/Lenovo-ThinkPad-14-Inch-i7-5600U-Windows/dp/B07V5B66L1/ref=sr_1_271
Lenovo,82R70000US,14 Inches,2880 x 1600 pixels,core_i7,4.7 GHz,16 GB,,,Integrated,Windows 11,3.31 pounds,,4 ratings,3.8,$529.99,https://www.amazon.com/Lenovo-Flex-Touchscreen-Laptop-82R70000US/dp/B0BTB6T4TQ/ref=sr_1_270
Lenovo,"IdeaPad 3 15""",15.6 Inches,1366 x 768,ryzen_3_3250u,2.6 GHz,4 GB,256 GB,AMD Radeon Vega 3,Integrated,Windows 10 S,4.84 pounds,Business Black,"1,740 ratings",4.5,$379.00,https://www.amazon.com/Lenovo-Processor-Graphics-81W10094US-Business/dp/B0872K4XCJ/ref=sr_1_274
LENOVO,ThinkPad T470s,14 Inches,1920 x 1080 pixels,apple_ci5,3.39 GHz,8 GB,256 GB,Intel HD Graphics 520,Integrated,Windows 10 Pro,3.88 pounds,,6 ratings,3.1,$182.89,https://www.amazon.com/LENOVO-Thinkpad-T470s-Business-Dual-Core/dp/B0C61SG3W2/ref=sr_1_266
Lenovo,Lenovo IdeaPad 3 Laptop,14 Inches,1920 x 1080 pixels,core_i7,2.8 GHz,32 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,3.59 pounds,Gray,1 rating,4.0,$769.00,https://www.amazon.com/Lenovo-IdeaPad-i7-1165G7-Processor-Fingerprint/dp/B0BZH5QMQK/ref=sr_1_269
Lenovo,X1 Yoga 3,14 Inches,1920x1080,apple_ci7,2.6 GHz,16 GB,512 GB,I7-8650U,Integrated,Windows 10 Pro,3.88 pounds,,14 ratings,4.4,$316.00,https://www.amazon.com/Lenovo-ThinkPad-Yoga-Multimode-Ultrabook/dp/B07RQVPN6Y/ref=sr_1_268
LENOVO,Thinkpad 13,13.3 Inches,1920 x 1080 pixels,celeron_3865u,1.8 GHz,16 GB,256 GB,Intel HD Graphics 3400,Integrated,Windows 10 Pro,4.13 pounds,Black,126 ratings,3.9,$149.90,https://www.amazon.com/Lenovo-Thinkpad-1920x1080-Business-Celeron/dp/B0BS69XVFY/ref=sr_1_265
Lenovo,Laptop,14 Inches,1366 x 768 pixels,celeron_n,1.1 GHz,4 GB,64 GB,Intel HD Graphics 500,Integrated,Windows 11 S,3.08 pounds,Cloud Grey,73 ratings,4.0,$179.00,https://www.amazon.com/Lenovo-Ideapad-Processor-Graphics-Speakers/dp/B0BKFZQ2LC/ref=sr_1_264
Lenovo,,11.6 Inches,1366 x 768 pixels,,2.1 GHz,4 GB,32 GB,Intel GMA 3150,Integrated,Chrome OS,4.34 pounds,Black,121 ratings,3.9,$67.00,https://www.amazon.com/Lenovo-Chromebook-Non-Touchscreen-Quad-core-81H00000US/dp/B0BS4F27B7/ref=sr_1_267
Lenovo,,11.6 Inches,,MediaTek MT8183,,4 GB,64 GB,,Integrated,Chrome OS,,Blue,3 ratings,5.0,$229.00,https://www.amazon.com/Lenovo-Chromebook-Touch-Screen-Light-Weight-82KM0003US/dp/B0CC8YXV4N/ref=sr_1_263
Lenovo,Lenovo Ideapad 3i,14 Inches,1920x1080,core_i3_family,3 GHz,12 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 S,3.3 pounds,Gray,27 ratings,4.0,$368.00,https://www.amazon.com/Lenovo-Flagship-Essential-Processor-Accessories/dp/B0BYDNNS86/ref=sr_1_262
LENOVO,Lenovo T470,14 Inches,1920 x 1080 pixels,apple_ci5,2.39 GHz,16 GB,256 GB,Integrated,Integrated,Windows 10 Pro,4.94 pounds,Black,5 ratings,3.9,$219.00,https://www.amazon.com/Lenovo-Thinkpad-T470-Business-i5-6300U/dp/B0BQQRST4G/ref=sr_1_260
Lenovo,,15.6 Inches,1920 x 1080 pixels,core_i7,2.8 GHz,8 GB,1 TB,Intel Iris Xe Graphics,Integrated,Windows 11,3.87 pounds,Gray,1 rating,5.0,$595.00,https://www.amazon.com/Lenovo-IdeaPad-5i-Graphics-Fingerprint/dp/B0C3B6H6YF/ref=sr_1_261
Lenovo,ThinkBook 15 G3 ACL,15.6 Inches,1920 x 1080 pixels,ryzen_7_5700u,1.8 GHz,40 GB,1 TB,Integrated AMD Radeon Graphics,Integrated,Windows 10 Pro,3.75 pounds,Mineral Grey,19 ratings,4.2,$899.98,https://www.amazon.com/Lenovo-ThinkBook-ITL-Multi-Touch-Fingerprint/dp/B09JC8L139/ref=sr_1_259
Lenovo,Lenovo Thinkpad,15.6 Inches,1920 x 1080 pixels,core_i5_6200u,2.3 GHz,16 GB,512 GB,Intel,Integrated,Windows 10 Pro,3 pounds,Black,57 ratings,4.0,$198.00,https://www.amazon.com/Lenovo-ThinkPad-Notebook-Display-i5-6300U/dp/B07W43VC68/ref=sr_1_258
Lenovo,Lenovo ThinkPad X13 Business Laptop,13.3 Inches,1920x1200,apple_ci7,4.8 GHz,16 GB,512 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Pro,3.07 pounds,Storm Grey,,,$769.99,https://www.amazon.com/Lenovo-ThinkPad-X13-Touchscreen-i7-1185G7/dp/B0CCXZ81C9/ref=sr_1_200
