brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,82V6001DUS,14 Inches,1366 x 768 pixels,pentium_other,1.1 GHz,4 GB,128 GB,intel pentium N5030,Integrated,Windows 11 S,4.42 pounds,Cloud Grey,111 ratings,4.2,$172.00,https://www.amazon.com/Lenovo-Ideapad-Pentium-Storage-82V6001DUS/dp/B0BRC8HKTX/ref=sr_1_29
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 pixels,intel_core_i5_1135g7,1 GHz,12 GB,256 GB,Intel Iris Xe Graphics,Integrated,Windows 11 Home,3.74 pounds,Gray,105 ratings,4.3,$495.00,https://www.amazon.com/Lenovo-Ideapad-Screen-Keyboard-Windows/dp/B09KSVJ796/ref=sr_1_28
Lenovo,Legion 5 15ARH7H,15.6 Inches,2560 x 1440 pixels,amd_ryzen_7,3.2 GHz,32 GB,1 TB,NVIDIA GeForce RTX 3060,Integrated,Windows 11,5.18 pounds,,"1,160 ratings",4.6,"$1,295.00",https://www.amazon.com/Lenovo-Notebook-15ARH7H-3-20GHz-Bluetooth/dp/B0C8QHX2DW/ref=sr_1_27
Lenovo,L14,14 Inches,1366 x 768 pixels,pentium,1.1 GHz,4 GB,128 GB,Intel UHD Graphics 605,Integrated,Windows 11 S,4.44 pounds,Platinum Grey,79 ratings,4.1,$190.95,https://www.amazon.com/Lenovo-IdeaPad-Pentium-Windows-Included/dp/B0BNLYG895/ref=sr_1_26
Lenovo,Thinkpad Yoga 11e,11.6 Inches,1366 x 768 pixels,celeron_n,1.6 GHz,4 GB,128 GB,Intel HD Graphics,Integrated,Windows 10 Home,3.3 pounds,Black,4 ratings,4.4,$94.00,https://www.amazon.com/Lenovo-Thinkpad-Yoga-Celeron-Windows/dp/B08F65NCNM/ref=sr_1_6
Lenovo,T460s Ultrabook,14 Inches,,Intel Core i5,,8 GB,256 GB,,"Intel HD Graphics 520, Integrated",Windows 10 Pro,,Black,351 ratings,4.1,$199.69,https://www.amazon.com/Lenovo-Ultrabook-Fingerprint-Certified-Refurbished/dp/B07G2RG7JH/ref=sr_1_25
Lenovo,Lenovo Chromebook 100e 2nd Gen,11.6 Inches,1366 x 768 pixels,arm_v7,1248 MHz,4 GB,32 GB,Intel UHD Graphics 600,Integrated,Chrome OS,4.2 pounds,Black,,,$79.95,https://www.amazon.com/Lenovo-Resistant-Chromebook-81ma000tus-Processor/dp/B0CGVP1T8J/ref=sr_1_23
Lenovo,IdeaPad Gaming 3,15.6,1920 x 1080 pixels,Ryzen 5,3.3 ryzen_5,8 GB,256 GB,NVIDIA GeForce RTX 3050,Dedicated,Windows 11 Home,7.55 pounds,Onyx Grey,"1,147 ratings",4.3,$699.00,https://www.amazon.com/Lenovo-IdeaPad-Essential-Computer-Graphics/dp/B09RND1LP2/ref=sr_1_24
Lenovo,Lenovo Thinkpad Yoga,11.6 Inches,1366 x 768 pixels,celeron_n,1.6 GHz,4 GB,128 GB,Intel HD Graphics,Integrated,Windows 10,4 pounds,Black,453 ratings,4.0,$114.00,https://www.amazon.com/Lenovo-Thinkpad-Touchscreen-Processor-Bluetooth/dp/B07V1X13D8/ref=sr_1_21
Lenovo,Newest Flagship Lenovo Chromebook,14 Inches,1920 x 1080 pixels,cortex,2 GHz,4 GB,64 GB,Integrated ARM Mali-G52 2EE MC2 GPU,Integrated,Chrome OS,2.86 pounds,Abyss Blue,12 ratings,4.2,$198.50,https://www.amazon.com/Lenovo-Newest-Flagship-Chromebook-HubxcelAccesory/dp/B0CBJ46QZX/ref=sr_1_17
Lenovo,Lenovo Thinkpad Yoga,11.6 Inches,1366 x 768 pixels,celeron,1.83 GHz,4 GB,128 GB,,Integrated,Windows 10 Pro,2 pounds,,29 ratings,3.6,$104.99,https://www.amazon.com/Lenovo-Thinkpad-Convertible-Celeron-Touchscreen/dp/B07ZC9N7SQ/ref=sr_1_62
Lenovo,Ideapad 1 14 Laptop,14,1920 x 1080 pixels,Celeron N4020,1.1 celeron_n4020,,,AMD Radeon R5,Integrated,Windows 10,3.09 pounds,Ice Blue,"1,802 ratings",4.3,$207.00,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81VU0079US/dp/B08YKHYCPW/ref=sr_1_20
Lenovo,IdeaPad 1,14 Inches,1920 x 1080 pixels,amd_a6,1.6 GHz,4 GB,64 GB,AMD Radeon R4,Dedicated,Windows 10 S,3.1 pounds,Black,281 ratings,3.8,$174.00,https://www.amazon.com/Lenovo-IdeaPad-A6-Platinum-81VS009GUS/dp/B08L5FQTSB/ref=sr_1_61
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 pixels,pentium_other,1.1 GHz,20 GB,512 GB,Intel UHD Graphics,Intel UHD Graphics,Windows 11 S,3.52 pounds,Blue,23 ratings,4.4,$359.99,https://www.amazon.com/Lenovo-IdeaPad-Premium-Processor-Graphics/dp/B0CJ948YH5/ref=sr_1_60
Lenovo,Lenovo ThinkPad T450,14 Inches,1366x768,apple_ci5,2.3 GHz,8 GB,256 GB,Intel,"Intel HD Graphics 5500, Integrated",Windows 10 Pro 64 Bit,3.78 pounds,Black,325 ratings,4.1,$134.01,https://www.amazon.com/Lenovo-ThinkPad-T450-Dual-Core-Professional/dp/B07MQ15G7M/ref=sr_1_18
Lenovo,81YK00CGUS,15.6 Inches,1920 x 1080,intel_core_i7_1165g7,3.6 GHz,16 GB,512 GB,Intel UHD Graphics,,Windows 10,4.44 pounds,Graphite gray,242 ratings,4.3,$579.99,https://www.amazon.com/Lenovo-IdeaPad-Laptop-i5-1035G1-Touchscreen/dp/B08DJXYMJL/ref=sr_1_59
